section,id,name,msx,md_suggested,w_tiles,h_tiles,palette,max_colors,anim_frames,file,notes
C,title_text,title_text,draw_title_text strings | GAME DESIGNED BY COMPILE / PRODUCED BY AII / PRESENTED BY PONY INC. / COPYRIGHT 1986 PONY INC. + A.I. row,Font or title tiles,,,PAL0,16,0-32,res/md/bg/,Currently replaced by the Original / Zanac MD menu (SGDK font).
D,1,main_stage_theme,BGM,XGM loop (or XGM2),,,,,,res/md/vgm/ev01_main_stage_theme,"After ev7 chain (0x87 01). Longest, 3 voices ch 0/2/1."
D,2,round_mod8_theme,BGM,XGM loop,,,,,,res/md/vgm/ev02_round_mod8_theme,Round start when round≡0 mod 8 (0x4065 else-path). 2 voices.
D,3,title_music,BGM,XGM loop,,,,,,res/md/vgm/ev03_title_music,"Title intro (0x5A16, live-confirmed). 3 voices. Port: sound_play_title()."
D,4,game_over,BGM,XGM one-shot (no loop) or short XGM,,,,,,res/md/vgm/ev04_game_over,Game-over / attract (0x467B). 3 voices. Port: sound_play_gameover().
D,5,jingle_from_ev12,jingle,XGM one-shot,,,,,,res/md/vgm/ev05_jingle_from_ev12,Chained from event 12 (0x87 05 @0x5804). 2 voices.
D,6,weapon_fire_sfx,SFX,one-shot PCM (XGM PCM ch) or PSG,,,,,,res/md/vgm/ev06_weapon_fire_sfx,Weapon/fire (0x7260). 1 voice ch 1.
D,7,stage_intro,BGM,XGM intro then loop ev1 (or one XGM with intro),,,,,,res/md/vgm/ev07_stage_intro,Round-start when round&7≠0 (0x4065). 3 voices. Chains → ev1. Port: sound_play_round().
D,8,state_jingle_a,jingle,XGM one-shot,,,,,,res/md/vgm/ev08_state_jingle_a,E102 bit2 clear (0x4A61); also enemy (0x8763). 2 voices.
D,9,state_jingle_b,jingle,XGM one-shot,,,,,,res/md/vgm/ev09_state_jingle_b,E102 bit2 clear (0x4A20). 2 voices.
D,10,round_variant_bgm,BGM,XGM loop,,,,,,res/md/vgm/ev10_round_variant_bgm,Round-variant BGM (0x4133 init). 3 voices.
D,11,init_jingle,jingle,XGM one-shot,,,,,,res/md/vgm/ev11_init_jingle,"Init jingle (0x40EA). 3 voices, 2 share stream 0x57B5 (chorus)."
D,12,round_boss_jingle,jingle,XGM one-shot then ev5,,,,,,res/md/vgm/ev12_round_boss_jingle,Round/boss (0x924B). 3 voices. Chains → ev5.
D,13,shot_sfx_lv0,SFX,one-shot PCM,,,,,,res/md/vgm/ev13_shot_sfx_lv0,Shot fire. 0x7234 plays event=3+(E10F>>2). Levels 0-1 E10F=0x28 → ev13. Live-confirmed. 1 voice ch 2.
D,14,shot_sfx_lv2,SFX,one-shot PCM (higher pitch/layer),,,,,,res/md/vgm/ev14_shot_sfx_lv2,Same formula: E10F=0x2C (shot levels 2-3) → ev14. Catalogue lists 'SFX ch C' with no extra call site.
D,15,shot_sfx_lv4,SFX,one-shot PCM,,,,,,res/md/vgm/ev15_shot_sfx_lv4,Same formula: E10F=0x30 (shot levels 4-5) → ev15. Catalogue lists 'SFX ch C' with no extra call site.
D,16,sfx_enemy_16,SFX,one-shot PCM (noise),,,,,,res/md/vgm/ev16_sfx_enemy_16,ch C noise — enemy (0x86C0). 1 voice. Exact gameplay beat beyond 'enemy': unknown.
D,17,sfx_enemy_hit,SFX,one-shot PCM,,,,,,res/md/vgm/ev17_sfx_enemy_hit,"ch C noise — enemy hit (0x8495, 0x8B87)."
D,18,explosion,SFX,one-shot PCM,,,,,,res/md/vgm/ev18_explosion,"ch C noise — explosion (base damage/death 0x8879, 0x8E1F). Port: sound_play_explode()."
D,19,sfx_fire_or_enemy,SFX,one-shot PCM,,,,,,res/md/vgm/ev19_sfx_fire_or_enemy,ch C — fire (0x7516) / enemy (0x89FF).
D,20,sfx_player_or_base,SFX,one-shot PCM,,,,,,res/md/vgm/ev20_sfx_player_or_base,ch C — player (0x7911) / base (0x8438).
D,21,sfx_enemy_hit_21,SFX,one-shot PCM,,,,,,res/md/vgm/ev21_sfx_enemy_hit_21,"ch C — enemy hit (0x8025, 0x8209)."
D,22,sfx_noise_22,SFX,one-shot PCM (noise) or keep PSG,,,,,,res/md/vgm/ev22_sfx_noise_22,ch C noise. Call site not listed in the 0057 catalogue. Purpose: unknown.
D,23,sfx_pickup,SFX,one-shot PCM,,,,,,res/md/vgm/ev23_sfx_pickup,"ch C — player (0x78C1). Power-chip handler 0x78BF is LD A,0x17 / CALL play_sound_event — 0x17=23."
D,24,sfx_weapon_expire,SFX,one-shot PCM or PSG,,,,,,res/md/vgm/ev24_sfx_weapon_expire,"ch B — weapon (0x74C1, 0x74E2). Those addresses are fire 2 / fire 4 expire handlers."
D,25,round_fanfare,jingle,XGM one-shot,,,,,,res/md/vgm/ev25_round_fanfare,"Round fanfare, conditional (0x9044). 3 voices."
D,26,round_clear_a,jingle,XGM one-shot,,,,,,res/md/vgm/ev26_round_clear_a,Round-clear fanfare C=0x1A (0x917A). 3 voices.
D,27,round_clear_b,jingle,XGM one-shot,,,,,,res/md/vgm/ev27_round_clear_b,Round-clear variant C=0x1B (0x917A). 3 voices.
E,res/md/sprites/,res/md/sprites/,,"SPRITE name ""md/sprites/foo.png"" W H NONE 0",,,,,,res/md/sprites/,"PNG (indexed or 4bpp-friendly), one file per visual or a strip — W,H are tiles 1-4. Color 0 = transparent. 16 colors from one CRAM pal. Frame strips are horizontal (see current objs.png 208x16 = 13×16px)."
E,res/md/sprites/ship.png,res/md/sprites/ship.png,,SPRITE spr_md_ship ... 2 2 (or 3 3 / 4 4),,,,,,res/md/sprites/ship.png,Player ship (replace 16x16 MSX) — Point ModeAssets.ship here in Zanac MD. Original keeps res/sprites/ship.png.
E,res/md/sprites/enemies.png or per-enemy,res/md/sprites/enemies.png or per-enemy,,SPRITE spr_md_* W H,,,,,,res/md/sprites/enemies.png or per-enemy,"Folded complement, anim frames as strip — Suggested groups: player, shots, fire, items, duster, teruzo, luster, veybar, spinner, stealth, box, umber, degid, sart, projectiles."
E,res/md/bg/,res/md/bg/,,TILESET / MAP in resources.res,,,,,,res/md/bg/,8x8 4bpp tilesets + optional maps — Keep Original charset_tiles.bin. Zanac MD can load a 512-1024 tile set split across 2 palettes.
E,res/md/bg/terrain.png,res/md/bg/terrain.png,,TILESET md_terrain,,,,,,res/md/bg/terrain.png,Main scrolling greeble / starfield — Covers charset + tile_tables + column streams. 2nd palette OK.
E,res/md/bg/logo.png,res/md/bg/logo.png,,TILESET or SPRITE,,,,,,res/md/bg/logo.png,Title logo (was 61 MSX tiles) — Do not overwrite HUD font. Title currently has no logo art.
E,res/md/bg/hud.png,res/md/bg/hud.png,,TILESET md_hud,,,,,,res/md/bg/hud.png,Optional HUD panel / digits — H40 extra 64px is a natural right-side HUD like MSX ALC/TOP/SCORE/LEVEL/ROUND/FIRE.
E,res/md/bg/credits.png,res/md/bg/credits.png,,TILESET or font,,,,,,res/md/bg/credits.png,Optional credits decorations — Strings can stay as text; this is ornament.
E,res/md/vgm/,res/md/vgm/,,XGM / WAV in resources.res,,,,,,res/md/vgm/,XGM / XGM2 / VGM / WAV — SGDK 2.11: XGM = 4 PCM @14 kHz; XGM2 = 3 PCM @13.3/6.65 kHz; WAV = PCM sample. Original mode keeps sound_blob.bin + PSG interpreter. Zanac MD: Z80_loadDriver(XGM or XGM2) and map events 1-27 to tracks/SFX ids.
E,res/md/vgm/bgm_*.xgm,res/md/vgm/bgm_*.xgm,,"XGM bgm_title, bgm_stage, ...",,,,,,res/md/vgm/bgm_*.xgm,"Looping stage / title / game-over — Events 1,2,3,4,7,10. Ev7 may be the intro of the ev1 file."
E,res/md/vgm/sfx_*.wav,res/md/vgm/sfx_*.wav,,"WAV sfx_shot, sfx_explode, ...",,,,,,res/md/vgm/sfx_*.wav,"One-shot PCM — Events 6,13-24. Keep filenames = event id so ModeAssets can be a table of pointers."
